N_nodes,T,degree,autocorrelation,tau_max_true,lag_max,repetition,graph_seed,method,peak_rss_mib,runtime_s
13,1000,1.5,0.3,3,3,10,45113132,tsboss_iid,33.921875,0.03678020799998194
15,1000,1.5,0.3,3,3,1,45115123,tsboss,92.6875,0.5036631670009228
15,1000,1.5,0.3,3,3,1,45115123,pcmci,100.484375,0.5378877499970258
15,1000,1.5,0.3,3,3,1,45115123,dynotears,150.609375,0.6221585419989424
15,1000,1.5,0.3,3,3,1,45115123,tsfges,212.125,0.4742414159991313
15,1000,1.5,0.3,3,3,1,45115123,tsboss_iid,34.625,0.20717783400323242
15,1000,1.5,0.3,3,3,2,45115124,tsboss,94.703125,0.9324889589988743
15,1000,1.5,0.3,3,3,2,45115124,pcmci,100.75,0.610454417001165
15,1000,1.5,0.3,3,3,2,45115124,dynotears,150.515625,0.6638307499961229
15,1000,1.5,0.3,3,3,2,45115124,tsfges,238.75,0.498799125001824
15,1000,1.5,0.3,3,3,2,45115124,tsboss_iid,35.921875,0.4262057090018061
15,1000,1.5,0.3,3,3,3,45115125,tsboss,92.65625,0.3519254999991972
15,1000,1.5,0.3,3,3,3,45115125,pcmci,100.359375,0.5203641249972861
15,1000,1.5,0.3,3,3,3,45115125,dynotears,150.90625,0.6452013750022161
15,1000,1.5,0.3,3,3,3,45115125,tsfges,211.46875,0.45670966600300744
15,1000,1.5,0.3,3,3,3,45115125,tsboss_iid,34.5,0.11884729199664434
15,1000,1.5,0.3,3,3,4,45115126,tsboss,92.65625,0.3177763749990845
15,1000,1.5,0.3,3,3,4,45115126,pcmci,100.453125,0.5252609169983771
15,1000,1.5,0.3,3,3,4,45115126,dynotears,150.796875,0.6217163750043255
15,1000,1.5,0.3,3,3,4,45115126,tsfges,211.484375,0.41780629199638497
15,1000,1.5,0.3,3,3,4,45115126,tsboss_iid,34.265625,0.07399312499910593
15,1000,1.5,0.3,3,3,5,45115127,tsboss,92.671875,0.30887066700233845
15,1000,1.5,0.3,3,3,5,45115127,pcmci,100.40625,0.5287679999964894
15,1000,1.5,0.3,3,3,5,45115127,dynotears,150.8125,0.6851205420025508
